Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
01,04:39,06:03,12:27,15:52,18:38,20:01
02,04:37,06:02,12:26,15:52,18:39,20:02
03,04:36,06:00,12:26,15:53,18:40,20:03
04,04:34,05:59,12:26,15:53,18:40,20:03
05,04:33,05:58,12:25,15:53,18:41,20:04
06,04:31,05:57,12:25,15:53,18:42,20:05
07,04:30,05:55,12:25,15:53,18:43,20:06
08,04:28,05:54,12:25,15:53,18:43,20:07
09,04:27,05:53,12:24,15:53,18:44,20:08
10,04:25,05:51,12:24,15:53,18:45,20:09
11,04:24,05:50,12:24,15:53,18:46,20:10
12,04:22,05:49,12:23,15:54,18:46,20:11
13,04:21,05:48,12:23,15:54,18:47,20:12
14,04:19,05:46,12:23,15:54,18:48,20:13
15,04:18,05:45,12:23,15:54,18:49,20:14
16,04:17,05:44,12:22,15:54,18:49,20:15
17,04:15,05:43,12:22,15:54,18:50,20:16
18,04:14,05:41,12:22,15:54,18:51,20:17
19,04:12,05:40,12:22,15:54,18:52,20:18
20,04:11,05:39,12:22,15:54,18:52,20:19
21,04:09,05:38,12:21,15:54,18:53,20:20
22,04:08,05:37,12:21,15:54,18:54,20:21
23,04:07,05:36,12:21,15:54,18:55,20:22
24,04:05,05:35,12:21,15:54,18:55,20:23
25,04:04,05:33,12:21,15:54,18:56,20:24
26,04:02,05:32,12:20,15:54,18:57,20:25
27,04:01,05:31,12:20,15:54,18:58,20:26
28,04:00,05:30,12:20,15:54,18:58,20:27
29,03:58,05:29,12:20,15:54,18:59,20:28
30,03:57,05:28,12:20,15:54,19:00,20:29
